MLS #,Acres,Basement Finished,Under Contract Date,Effective Date Of The Listing Agreement,List Price,Basement Square Feet,Sold Concessions,Sold Date,Sold Price,Sold Terms,Tax ID,Total Bedrooms,Total Full Bathrooms,Total Half Bathrooms,Total Three-quarter Bathrooms,Total Fireplaces,Total Kitchens,Total Laundry Rooms,Total Square Feet,Year Built,Road Condition,Accessability,Address
96945,0.03,0.0,2022-04-09,2022-02-10,62500,0,0,2022-04-22,61000.0,CASH,A-050-0003-0003-18,0,1,0,0,0,1,1,200,2003,Paved,,318 Beth
96947,0.23,100.0,2022-03-07,2022-02-10,630000,1672,0,2022-04-13,605000.0,CONV,B-1716-0011-0000,5,3,0,0,1,1,1,3381,2002,Paved,,638 S 2125 W W
96952,0.3,0.0,2022-07-20,2022-02-11,450000,0,0,2022-08-12,450000.0,CONV,B-2020-0030-0000,3,2,0,0,1,1,1,1806,2022,Paved,Year Round,4386 W 275 N
96955,0.35,0.0,2022-02-22,2022-02-11,494000,0,0,2022-03-21,550000.0,CONV,B-1580-0004-0000,3,2,0,0,1,1,1,1783,2008,Paved,Year Round,2457 W Church Street
96956,2.16,0.0,2022-02-23,2022-02-11,525000,0,0,2022-04-01,530000.0,CONV,A-0880-0001-0000,3,2,0,0,1,1,1,2280,1990,Paved,,3922 N Minersville HWY
96961,0.1,0.0,2022-02-15,2022-02-12,239000,0,0,2022-03-22,242000.0,FHA,B-1893-0013-0000,2,1,0,0,0,1,1,768,2007,Paved,,1903 N 550 W
96962,0.23,100.0,2022-02-22,2022-02-12,564900,1676,0,2022-03-22,564900.0,CONV,B-1688-0029-0000,5,3,0,0,1,1,2,3352,2015,Paved,,137 W 2875 N Circle
97372,0.0,0.0,2022-06-15,2022-03-19,370000,0,0,2022-06-30,335000.0,CASH,A-1150-0001-0003-04B,1,2,0,0,1,1,1,1017,1982,Paved,,89 E Steam Engine #4b
97377,0.1,0.0,2022-03-21,2022-03-21,369999,0,2650,2022-04-15,375000.0,CONV,B-1873-0004-0000,3,2,1,0,1,1,1,1781,2006,Paved,Year Round,43 E 820 S
97380,0.02,0.0,2022-03-25,2022-03-21,269900,0,5000,2022-04-29,255000.0,VA,B-1960-0010-000B,3,2,1,0,0,1,1,1258,2007,Paved,,920 S 25 #10B E
97382,0.57,10.0,2022-03-28,2022-03-21,528900,1550,0,2022-04-29,528900.0,CONV,D-0462-0017-0000,3,2,0,0,0,1,1,3100,2022,Paved,,4461 N 2525 W
97383,0.32,0.0,2022-03-21,2022-03-21,455000,0,0,2022-07-22,458477.0,CONV,B-2020-0110-0000,3,2,0,0,0,1,1,1740,2022,Paved,,4587 W 275 (Lot 110) N
97390,0.03,0.0,2022-03-23,2022-03-19,360000,0,0,2022-04-22,365000.0,CASH,B-1386-0095-00AM,4,2,1,0,0,1,1,1957,2021,Paved,,1559 S W Topaz #a Drive
